PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) ,,,,,,,
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,
T2M                 MERRA-2 Temperature at 2 Meters (C) ,,,,,,,
T2M_MAX             MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,
T2M_MIN             MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,
District,Year,Month,Pre_sum,QV2M,T2M,T2M_MAX,T2M_MIN
Bajali,1981,January,26.7,8.53,15.83,23.33,8.38
Bajali,1981,February,22.66,8.78,17.35,27.48,9.61
Bajali,1981,March,64.9,10.51,21.49,30.75,13.12
Bajali,1981,April,196.06,13.51,24.06,31.93,15.51
Bajali,1981,May,273.27,17.95,27.82,34.57,21.89
Bajali,1981,June,198.91,20.56,29.26,35.16,23.09
Bajali,1981,July,549.58,21.38,28.76,34.37,25.1
Bajali,1981,August,248.08,21.55,28.89,34,25.15
Bajali,1981,September,276.86,19.65,27.47,33.16,22.72
Bajali,1981,October,9.77,15.86,24.56,30.65,17.56
Bajali,1981,November,1.24,11.95,20.45,27.59,13.22
Bajali,1981,December,58.62,9.47,16.55,25.24,9.16
Bajali,ANN,ANN,1926.65,15.01,23.57,35.16,8.38
Bajali,1982,January,1.98,8.9,16.46,25.4,9.97
Bajali,1982,February,11.61,8.16,16.86,26.24,9.04
Bajali,1982,March,14.75,9.86,20.98,31.63,10.92
Bajali,1982,April,431.06,13.71,25.5,33.83,17.94
Bajali,1982,May,260.06,17.3,28.06,34.77,19.83
Bajali,1982,June,416.67,19.97,28.57,34.04,23.73
Bajali,1982,July,283.84,21.17,29.09,33.96,24.95
Bajali,1982,August,271.92,21.13,28.84,34.8,24.13
Bajali,1982,September,133.8,19.45,27.63,34.26,22.26
Bajali,1982,October,15.85,14.87,24.37,31.14,17.14
Bajali,1982,November,45.45,11.44,19.86,28.28,11.5
Bajali,1982,December,0.29,8.49,15.89,23.39,8.29
Bajali,ANN,ANN,1887.28,14.57,23.54,34.8,8.29
Bajali,1983,January,6.02,7.06,14.7,25.19,7.41
Bajali,1983,February,16.68,6.41,16.58,28.05,5.98
Bajali,1983,March,8.57,7.07,21.78,36.11,11.68
Bajali,1983,April,86.75,9.66,26.47,37.74,16.08
Bajali,1983,May,141.69,15.66,28.29,39.85,19.13
Bajali,1983,June,238.23,19.07,30.75,40.24,24.8
Bajali,1983,July,228.99,20.54,29.91,37.03,25.47
Bajali,1983,August,217.11,20.28,29.01,35.14,24.1
Bajali,1983,September,335.82,19.76,27.67,33.53,23.32
Bajali,1983,October,146.4,16.25,25.1,34.25,16.83
Bajali,1983,November,0.27,11.34,20.59,28.61,13.92
Bajali,1983,December,9.81,8.12,15.91,24.35,6.67
Bajali,ANN,ANN,1436.34,13.48,23.93,40.24,5.98
Bajali,1984,January,10.93,6.55,14.13,23.42,6.65
Bajali,1984,February,12.86,6.43,17,28.4,7.7
Bajali,1984,March,3.63,6.59,24.27,37.69,12.28
Bajali,1984,April,124.61,11.23,28.94,38.73,19.73
Bajali,1984,May,234.08,16.45,28.46,37.01,21.46
Bajali,1984,June,319.31,19.75,29.7,40.13,23.25
Bajali,1984,July,474.07,20.7,28.26,34.53,24.49
Bajali,1984,August,137.61,20.76,29.05,36.27,24.84
Bajali,1984,September,350.36,18.48,26.47,33.48,20.83
Bajali,1984,October,54.84,16.28,24.75,32.33,16.71
Bajali,1984,November,0.3,10.62,19.42,27.61,12.83
Bajali,1984,December,6.91,8.31,15.74,25.08,7.8
Bajali,ANN,ANN,1729.51,13.53,23.86,40.13,6.65
Bajali,1985,January,0.04,7.46,15.34,25.28,7.53
Bajali,1985,February,17.92,6.77,16.74,27.42,8.51
Bajali,1985,March,35.4,8.94,23.41,34.5,14.39
Bajali,1985,April,132.25,12.75,27.3,36.06,19.14
Bajali,1985,May,100.03,14.71,29.6,37.76,21.83
Bajali,1985,June,156.64,19.06,30.64,37.83,24.97
Bajali,1985,July,312.72,19.64,28.45,35.63,23.79
Bajali,1985,August,141.88,20.41,29.58,35.71,25.4
Bajali,1985,September,315.58,19.42,27.68,33.6,23.34
Bajali,1985,October,40.39,15.36,24.97,32.04,16.26
Bajali,1985,November,3.21,9.96,20.11,29.17,12.07
Bajali,1985,December,17,8.15,17.65,26.36,9.5
Bajali,ANN,ANN,1273.06,13.59,24.33,37.83,7.53
Bajali,1986,January,1.59,6.98,16.71,25.94,8.82
Bajali,1986,February,3.32,6.17,19.41,30.28,10.7
Bajali,1986,March,6.59,6.19,24.61,38.9,12.06
Bajali,1986,April,219.48,11.83,27.3,38.5,17.35
Bajali,1986,May,70.17,12.72,29.74,40.46,20.85
Bajali,1986,June,244.15,17.54,31.87,42.02,24.49
Bajali,1986,July,224.08,19.57,29.31,36.25,24.87
Bajali,1986,August,250.46,19.99,29.41,38.91,22.72
Bajali,1986,September,192.51,18.17,26.88,33.36,20.6
Bajali,1986,October,210.57,14.58,23.42,29.64,16.84
Bajali,1986,November,29.52,11.24,19.9,28.46,13.13
Bajali,1986,December,3.84,8.31,16.9,25.38,10.06
Bajali,ANN,ANN,1456.28,12.81,24.64,42.02,8.82
Bajali,1987,January,8.82,7.21,16.77,27.03,9.2
Bajali,1987,February,76.34,7.8,19.22,31.13,10.79
Bajali,1987,March,68.11,8.53,23.02,35.73,13.6
Bajali,1987,April,180.69,10.97,27.46,38,18.29
Bajali,1987,May,112.52,14.24,28.84,39,19.38
Bajali,1987,June,198.73,19.13,31.06,38.61,26.02
Bajali,1987,July,496.9,21.12,28.93,34.35,23.1
Bajali,1987,August,267.53,20.19,28.53,35.75,23.72
Bajali,1987,September,371.98,20.01,27.87,32.86,22.1
Bajali,1987,October,120.46,15.53,24.25,31.01,17.26
Bajali,1987,November,6.03,12.39,20.9,27.85,13.36
Bajali,1987,December,0.48,9.59,17.78,25.71,9.97
Bajali,ANN,ANN,1908.59,13.92,24.57,39,9.2
Bajali,1988,January,6.72,7.94,16.03,24.39,8.31
Bajali,1988,February,27.4,7.94,17.99,27.4,9.9
Bajali,1988,March,62.42,8.65,21.43,33.52,11.85
Bajali,1988,April,169.81,12.33,26.35,37.31,15.51
Bajali,1988,May,531.47,17.51,28.26,35.12,22.01
Bajali,1988,June,376.02,20.25,28.56,34.6,23.3
Bajali,1988,July,416.65,21.64,29.26,34.81,25.37
Bajali,1988,August,375.85,21.22,28.56,34.61,24.38
Bajali,1988,September,178.61,20.09,27.6,32.98,22.4
Bajali,1988,October,67.66,16.62,24.9,31.02,17.49
Bajali,1988,November,68.96,12.36,20.94,28.48,14.32
Bajali,1988,December,11.35,10.2,17.77,25.7,10.82
Bajali,ANN,ANN,2292.92,14.75,23.98,37.31,8.31
Bajali,1989,January,5.05,7.13,14.11,22.87,5.13
Bajali,1989,February,41.52,7.21,16.09,27.16,7.99
